,formula,min_proba
0,Sn2S3,0.9354977939600572
1,Lu2Te3,0.9692999999999996
2,Si,0.9399374723209716
3,SiC,0.9048000000000004
4,S,0.9571132065366952
5,Ba2HgS3,0.9126999999999996
6,ZnS,0.9249999999999996
7,CaC2,0.9766610011486632
8,TePb2O5,0.933756172305063
9,BaTe,0.9825734330982878
10,LuPb3,0.9011000000000003
11,Ca2Pb,0.9288999999999996
12,HfO2,0.987293599849513
13,SnSe,0.9635925616295709
14,CO2,0.9583210286374166
15,Se,0.9068475242238588
16,SiO2,0.9219026494477024
17,TeIr,0.9221000000000004
18,TiS2,0.9388
19,Te2Ir,0.9504
20,BaO2,0.9307324996073012
21,Ba3Zr2S7,0.9051000000000002
22,CdSe,0.9533435895685696
23,ZrO2,0.9812593337402308
24,TiZn2O4,0.9641704704970916
25,SnO2,0.9651490281626478
26,CdTe,0.9667184493278376
27,SrS2,0.9429312269891488
28,ZnO,0.9765999999999996
29,MgS,0.9651517757429088
30,CeZrO4,0.9083021896131712
31,C,0.9257999999999998
32,HfSe2,0.9839
33,Er5Sn3,0.9116000000000006
34,PbS,0.985997923577925
35,Tl2Te3,0.9200000000000004
36,Te,0.9424
37,Er2WO6,0.9228000000000004
38,PbO,0.9861079903452268
39,BaSi2,0.9160808930863682
40,BaZrS3,0.9380538585411092
41,MoO3,0.9011999999999998
42,SrTiO3,0.9355612750410246
43,BaGe2,0.9346
44,SrZrO3,0.9748880074839188
45,BaZrO3,0.9732499376936444
46,BaS2,0.9423576841162936
47,HgSe,0.9801999999999996
48,TiCdO3,0.9656971173107992
49,HfSe3,0.9245
50,Sn,0.9236999999999996
51,HgO,0.9860090972574252
52,HfGe2,0.9400999999999996
53,Pb,0.9188000000000004
54,Ca2Sn,0.9174999999999998
55,SiS2,0.9517512137485074
56,HfPbO3,0.9817400749356908
57,CS2,0.9297636895754764
58,Dy2O3,0.9345198826196488
59,CaSi2,0.9765999999999996
60,Ba6Hf5S16,0.9516999999999994
61,Pb2CO4,0.9277878943196614
62,SrCa3O4,0.9516999999999998
63,Ba4Zr3S10,0.9353000000000004
64,Os2C3,0.9222494604303394
65,HgS,0.9855594063132804
66,ZnWO4,0.9674
67,HfSnS3,0.9650275152784156
68,BaO,0.98104706318985
69,SeO2,0.9354999999999998
70,TePb,0.9864266726726536
71,BaS3,0.9210452361839953
72,SnS,0.963771535146586
73,ZrPbS3,0.9656740674278071
74,ZnTe,0.9403999999999998
75,Sr2Ta2O7,0.9348999999999998
76,SrY2O4,0.9502478095740452
77,La2Zr2O7,0.9096
78,WO3,0.9180470836962938
79,SiSe2,0.9457886350875736
80,Hf2Ge,0.9114
81,TiO2,0.9803878591297024
82,CaS,0.983116003364908
83,IrC2,0.9355590110710864
84,MoPbO4,0.9329834958649008
85,LuGe2,0.9328999999999996
86,HoTe2,0.908044489174176
87,CaLu2O4,0.944442733453302
88,Si8C3,0.9384999999999996
89,ErPb3,0.9068
90,SrO2,0.9445
91,Sr4SO3,0.9301
92,ZrPbO3,0.979044592109546
93,HfC,0.951250848856134
94,SnS2,0.9352715146510968
95,Ca(LuS2)2,0.901424730752484
96,MgO,0.9767963104106058
97,Ca3Ti2O7,0.929521999211092
98,CeTi2O6,0.910606767512725
99,OsC2,0.9346107360112116
100,TiPbO3,0.9479616870177722
101,Ba2ZnS3,0.9160999999999998
102,Sr(YS2)2,0.919184365181926
103,MgTe,0.9777358277873556
104,SmO2,0.9248000000000002
105,Ge3Pb3O10,0.905700939982872
106,Pr2Sn2O7,0.929500000000001
107,Sr2SO,0.9050000000000002
108,SrCeO3,0.9208000000000004
109,GeTe,0.9825152378102028
110,Er2S3,0.936330261162062
111,Sr2ZnWO6,0.9077051689355196
112,TiTe2,0.9354000000000005
113,PbSe,0.9859133812953236
114,ZnO2,0.9652314701774832
115,LuPb2,0.9172082811167772
116,CaO,0.9832307729231416
117,Sn2Ir,0.9379
118,GePbO3,0.9150925982098986
119,Pb3SO6,0.9342955262706858
120,BaWO4,0.94494614923115
121,BaTiO3,0.9351258594338496
122,Er3SnC,0.9140000000000004
123,Y2Zr2O7,0.9475999999999998
124,BaSi6,0.9516
125,Ge,0.9206000000000002
126,SrO,0.9838999999999996
127,Sr2TiO4,0.9388014720469756
128,Sc2Te3,0.9025650661225004
129,Ba2ZrS4,0.9515107472760348
130,SrC2,0.9723956961645468
131,GeO2,0.967872593105763
132,SnTe,0.9801508570694298
133,Er2Hf2O7,0.938119090973546
134,TiZnO3,0.9702557822309936
135,PbSeO3,0.9048086425804516
136,Ba2S3,0.9087000000000002
137,TiSe2,0.9237653278878456
138,CaTiO3,0.9283211704613208
139,Sr(LuS2)2,0.9079608959579956
140,PbWO4,0.964879968577393
141,TeO2,0.9754083353933872
142,Ba2CdS3,0.9247999999999996
143,CaTe,0.9846689390187268
144,BaLu2O4,0.9483745413176312
145,SrHfO3,0.983110436533611
146,SrSe,0.9829691840071024
147,Pb2SO5,0.9190619682294116
148,HgSeO3,0.9188523265631472
149,BaCdS2,0.9158
150,LuTe3,0.9178000000000004
151,BaZnO2,0.9445
152,GeSe2,0.9338000000000004
153,GeS2,0.9140743770991506
154,Ba2ZnO3,0.9195000000000008
155,CaGe2,0.9417999999999996
156,Sr2Si,0.9322000000000004
157,Ca2Si,0.9350000000000008
158,ErSi,0.9066000000000004
159,CSe2,0.931737111929182
160,Y2Te3,0.9031563939459936
161,Pb2O,0.9541000000000004
162,ZrC,0.9052729155254852
163,ZnMoO4,0.9329020600649952
164,Er5S7,0.9308644829320204
165,Ca(YS2)2,0.9185789601607702
166,HfPbS3,0.9780204768905386
167,BaTi2O5,0.9007620694448109
168,Sr2Pb3,0.9015000000000004
169,BaCeO3,0.9303136262196772
170,TbGe2,0.9271
171,PbO2,0.9696999999999996
172,Ta2O5,0.9304385541603344
173,Er2O3,0.9455
174,Lu2O3,0.9019423792776798
175,HgTe,0.9728999999999998
176,Ba(YS2)2,0.9206884503922904
177,ErS2,0.9508040456671965
178,PrTe3,0.9014495612182905
179,SrWO4,0.9445805705504404
180,Er2PbS4,0.9114925431993458
181,BaDy2O4,0.918384535890661
182,SrSi6,0.9531999999999998
183,CaZrS3,0.9429004239297544
184,Hf(WO4)2,0.9207999999999996
185,MgWO4,0.9433873900601047
186,SrHgO2,0.9492
187,SrSi2,0.964230237951106
188,MgTiO3,0.9742790219123012
189,DySn2,0.9207338779104236
190,Ba2ZrO4,0.9744216178769544
191,Zr(MoO4)2,0.9143000000000004
192,PbCO3,0.9088112030774732
193,Hg2TeO5,0.924541553937492
194,CaHfS3,0.9689391442797002
195,SnHgO3,0.9247743633399124
196,CaZrO3,0.977792914980635
197,CdMoO4,0.9514712166669446
198,Sr3CaO4,0.9516999999999995
199,TmPb3,0.9064
200,BaS,0.98092034913811
201,SrTl2O4,0.9290000000000008
202,BaHgS2,0.9298000000000004
203,ZnCd3S4,0.9068999999999998
204,CaHgO2,0.9414999999999996
205,ErSi2,0.9308793782809428
206,HfSn2,0.9328999999999996
207,Ba4Ta2O9,0.9047999999999996
208,Sr(ScS2)2,0.9125796287462424
209,Ba2TiO4,0.92317108486064
210,Hg2SeO4,0.9478137448006512
211,Ba2CdSe3,0.9130280573967828
212,CaWO4,0.9494438101426402
213,Ba3CaO4,0.9479999999999998
214,Ba3SrO4,0.9529999999999996
215,CdO,0.9780999999999994
216,SrZrS3,0.9371163129355932
217,ErC2,0.9525536158062704
218,Ca2Ta2O7,0.929000288974852
219,Si(PbS2)2,0.9091690181443692
220,Sn3WO6,0.9114999999999996
221,ZrTe3,0.9419
222,SrS3,0.928069416509009
223,OsSe2,0.9373999999999996
224,SO2,0.9049999999999998
225,La2Hf2O7,0.9116000000000004
226,GeS,0.965972439705959
227,SmC2,0.9110999999999996
228,BaTeO3,0.9003962204404324
229,HgWO4,0.9644974420336092
230,SrTe,0.9803
231,HfTe2,0.9834
232,BaSc2O4,0.9357999999999996
233,BaC2,0.9582
234,Hf5Ge3,0.9122000000000006
235,Nd2O3,0.9014888904633797
236,MgMoO4,0.9339000000000004
237,BaSe,0.9817002909061974
238,Hg2GeO4,0.9455298397135984
239,Sr4S3O,0.9301000000000004
240,ZnIn2O4,0.9141029002703528
241,DyPb3,0.9047
242,Sr3Ti2O7,0.9326131047358436
243,CdO2,0.9380083214784588
244,Er2C3,0.9472503341958702
245,Ca2Ge,0.9226999999999996
246,ScGe2,0.9313834205481772
247,Lu2PbS4,0.9549999999999996
248,SnPbO3,0.9200025006563518
249,TePbO3,0.9419463561622712
250,C3S8,0.900919782004266
251,CaSc2O4,0.94631343882566
252,YPb3,0.9073000000000002
253,Ge(PbS2)2,0.905901227362913
254,TbPb3,0.9045000000000004
255,Ca3SiO,0.9090999999999998
256,Sr3Ta2ZnO9,0.9048248609510688
257,ErSe2,0.9615000000000002
258,Pb2CO6,0.9210911737430928
259,ErHg2,0.9029
260,Y2Hf2O7,0.9436
261,Ca5Pb3,0.9153000000000004
262,TiHgO3,0.9806154958710276
263,MgC2,0.9241126114324604
264,SnWO4,0.9359701037844044
265,BaTe3,0.9406999999999998
266,BaGe3,0.9142
267,MgO2,0.9197587284663808
268,ErTe,0.9276000000000004
269,Sr5Ti7O19,0.9043949625382984
270,Ir3Se8,0.9023000000000002
271,PbSO3,0.9118165719970056
272,BaTe2,0.9729999999999994
273,ZnSe,0.9553309020044034
274,NdO2,0.9322999999999996
275,Ba5Ta4O15,0.9242
276,ZrTl2S3,0.9250000000000002
277,Er2Te3,0.9474000000000004
278,HgO2,0.9425000000000004
279,Hf3Ge2,0.9238000000000008
280,Er5Si3,0.9300000000000004
281,DyC2,0.9019601488867424
282,Er3PbC,0.9063999999999998
283,Ba2Pb,0.938
284,CdSe2,0.9365231001546088
285,BaCaO2,0.9311
286,HfTl2Se3,0.9072
287,SrZnO2,0.9031999999999996
288,BaSr3O4,0.9526999999999995
289,SnSe2,0.938067554028483
290,BaSn3,0.9038000000000004
291,ErTe2,0.9621
292,Sn(HgSe2)2,0.9071000000000002
293,Sr4Ti3O10,0.9270106586716688
294,SiTe2,0.9733000000000002
295,Ca(ScS2)2,0.912059920106931
296,DyTe2,0.916114505649125
297,Pb3O4,0.9377162554133682
298,Ba2ZnWO6,0.9078674903998428
299,BaHgO2,0.9381000000000002
300,Pb4SO8,0.9338103489544924
301,Ba5Hf4S13,0.9426999999999996
302,BaSe2,0.9218804456582104
303,ZnPbO3,0.9251151518454444
304,Sm2O3,0.9122253179115734
305,Hg2SO4,0.9435321841142996
306,CeTe3,0.9061341011842472
307,SrGe2,0.924
308,HfTe3,0.9247999999999996
309,BaSrO2,0.9414
310,BaSn5,0.9024999999999996
311,GeSe,0.966906012898722
312,SrHfS3,0.9656904259633532
313,Ba5Pb3,0.9093
314,SnO,0.9758999999999998
315,MgTe2,0.9675371144650904
316,Ba(LuS2)2,0.9088599140821896
317,HfS2,0.985800659105423
318,CaMoO4,0.9020691392312646
319,SiS4,0.923102711717189
320,ZnSe2,0.9416222845653962
321,TmGe2,0.9408999999999996
322,Ce(TeO3)2,0.9056864109393562
323,Er5Ge3,0.9109000000000002
324,Ba(ScTe2)2,0.9039707710673964
325,BaSe3,0.9264659870992098
326,CdHgO2,0.9076000000000002
327,TmTe2,0.9257521444633888
328,PbSe2,0.9593000000000004
329,ErTaO4,0.9118000000000002
330,Er2SiO5,0.902029476153309
331,BaGe5,0.9036000000000004
332,CaSe,0.983927089146828
333,Ba2CdTe3,0.9001
334,Sn(PbO2)2,0.9404380344235288
335,ErSn2,0.9364999999999998
336,Hg3SO6,0.9225000000000004
337,ZrSnS3,0.9318592192561188
338,MgTi2O5,0.9693802482315084
339,SrS,0.9840952828396832
340,BaEr2O4,0.9277999999999996
341,Ba4Hf3S10,0.9451
342,Ca2SiO4,0.9087628031935762
343,CaPb3,0.9028999999999998
344,SrPb3,0.9058000000000006
345,HgMoO4,0.9596999999999996
346,CaSn3,0.9061
347,BaY2O4,0.9524086779488258
348,ZrS2,0.9806576204718108
349,Ta2Sn2O7,0.9318000000000004
350,Ta2ZnO6,0.9460000000000002
351,CdS,0.977476548625688
352,ZrSi2,0.9039395837143264
353,Ba3Pb5,0.9045000000000002
354,Pb2O3,0.9729999999999996
355,Ca2Hf7O16,0.9652
356,Sn2Pb2O7,0.9061514206398276
357,Er5Pb3,0.9068
358,Pb2WO5,0.974116035221763
359,Ta2Cd2O7,0.9507999999999996
360,BaHfS3,0.9663068655567688
361,Ba2TeO,0.9328
362,Te2Os,0.94
363,Sr2Ge,0.9063
364,DyTe,0.9260000000000004
365,ZnS2,0.935301158422181
366,CaTl2O4,0.9378000000000004
367,ErSe,0.9162
368,ZrSe2,0.9814412173324036
369,SrEr2O4,0.9160999999999996
370,CdWO4,0.9421744754148528
371,Sr(LuSe2)2,0.91870470262848
372,Ba2ZnSe3,0.9078000000000004
373,SrCdO2,0.9242
374,HfSO,0.9152
375,CaSi3,0.9451000000000004
376,Tl5Te3,0.9068000000000004
377,Sr2Pb,0.9269
378,CdS2,0.929378920067202
379,NiTe2,0.902847449505778
380,BaZrSe3,0.9420112152116602
381,Ta2SnO6,0.9295000000000004
382,ZrTe2,0.9817451710015096
383,Dy2Hf2O7,0.9238931668059372
384,SiC2,0.9726794516600392
